variety,precio,puntos
Freisa,22.0,87.0
Fer Servadou,16.5,87.0
Mansois,17.5,87.0
Morava,26.0,87.0
Viognier-Grenache Blanc,35.0,87.0
Barbera-Nebbiolo,30.0,87.0
Chinuri,24.0,87.0
Ciliegiolo,30.0,87.0
Malvasia Nera,14.5,87.0
Mavroudi,12.0,87.0
Molinara,25.0,87.0
Malvasia Istriana,20.571428571428573,87.0
Xynisteri,18.5,87.0
Blauer Portugieser,16.0,87.0
Sauvignon Musqué,18.0,87.0
Plyto,19.5,87.0
Tinta Miúda,14.0,87.0
Gaglioppo,19.0,87.0
Malvasia,24.0,86.96428571428571
Mondeuse,24.555555555555557,86.9090909090909
Cabernet,17.0,86.875
Rosé,18.365299684542588,86.87456647398844
Portuguese White,15.057915057915057,86.86677631578948
Monastrell-Syrah,23.9,86.8
Piedirosso,24.857142857142858,86.77777777777777
Arinto,14.0,86.76315789473684
Greco Bianco,12.0,86.75
Primitivo,25.4070796460177,86.75
Vignoles,18.75,86.75
Lambrusco Grasparossa,17.444444444444443,86.72727272727273
Cabernet Merlot,24.083333333333332,86.71428571428571
Refosco,29.5,86.71428571428571
Rosato,17.953488372093023,86.6923076923077
Vernaccia,18.21153846153846,86.67857142857143
Vidal Blanc,30.416666666666668,86.66666666666667
Catarratto,20.466666666666665,86.66666666666667
Sauvignon Blanc-Chenin Blanc,16.666666666666668,86.66666666666667
Carmenère,21.61888111888112,86.6655172413793
Gamay Noir,22.625,86.625
Aligoté,22.666666666666668,86.61538461538461
Negroamaro,17.12121212121212,86.58333333333333
Verdejo-Viura,10.714285714285714,86.57142857142857
Rkatsiteli,18.5625,86.5625
Insolia,17.125,86.55
Cortese,22.085714285714285,86.53658536585365
Montepulciano,24.150943396226417,86.52100840336135
Vinhão,22.0,86.5
Vilana,14.5,86.5
Mtsvane,22.5,86.5
Shiraz-Cabernet,47.0,86.5
Marsanne-Viognier,27.5,86.5
Alvarelhão,21.0,86.5
Johannisberg Riesling,7.833333333333333,86.5
Ruché,26.833333333333332,86.5
Sacy,19.0,86.5
Carmenère-Syrah,26.0,86.5
Marzemino,72.0,86.5
Bonarda,15.867924528301886,86.47169811320755
Tempranillo-Cabernet Sauvignon,38.806451612903224,86.45161290322581
Tannat-Syrah,11.2,86.4
Chardonnay-Semillon,19.6,86.4
Colombard,16.428571428571427,86.35714285714286
Sangiovese-Cabernet Sauvignon,36.666666666666664,86.33333333333333
Roditis,18.333333333333332,86.33333333333333
Prosecco,19.04964539007092,86.32919254658385
Siria,12.857142857142858,86.28571428571429
Moscato,17.26751592356688,86.26162790697674
Verdejo,15.270967741935484,86.25949367088607
Xinomavro,23.9375,86.25
Bobal,21.75,86.25
Valdiguié,20.0,86.25
Bical,18.5,86.22222222222223
Pinot Grigio,16.483539094650205,86.21456692913385
Cabernet Sauvignon-Tempranillo,15.166666666666666,86.16666666666667
Garnacha Blanca,19.833333333333332,86.04166666666667
Garnacha Blend,10.0,86.0
Verdil,18.0,86.0
Albanello,20.0,86.0
Muscat Blanc à Petits Grains,16.0,86.0
Muskateller,24.666666666666668,86.0
Viognier-Chardonnay,21.5,86.0
Viognier-Gewürztraminer,15.0,86.0
Muscadine,25.0,86.0
Loureiro-Arinto,10.0,86.0
Madeira Blend,,86.0
Maria Gomes-Bical,25.0,86.0
Marquette,17.0,86.0
Gros Plant,16.0,86.0
Listán Negro,20.0,86.0
Inzolia,15.307692307692308,86.0
Jacquez,23.0,86.0
Malagouzia-Chardonnay,8.0,86.0
Mavrodaphne,18.0,86.0
Mazuelo,56.5,86.0
Rivaner,16.5,86.0
Grechetto,16.25,86.0
Monica,16.0,86.0
Cabernet Franc-Carmenère,12.0,86.0
Sauvignon-Sémillon,12.0,86.0
Cococciola,20.0,86.0
Coda di Volpe,17.8,86.0
Grenache Noir,9.0,86.0
Garnacha-Monastrell,9.5,86.0
Diamond,10.0,86.0
Dornfelder,13.2,86.0
Carineña,22.666666666666668,86.0
Portuguiser,15.0,86.0
Sangiovese Cabernet,43.5,86.0
Bastardo,32.0,86.0
